host_id,host_name,property_type,bedrooms,beds,bathrooms,ratings,neighbourhood,latitude,longitude,room_type,daily_price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
8028,Sylvia,Guesthouse,1.0,2,1.0,4.84,78702,30.26057,-97.73441,Entire home/apt,126,2,657,2023-08-27,3.72,1,306,42
8186,Elizabeth,Home,1.0,1,1.0,4.9,78729,30.45697,-97.78422,Private room,45,1,290,2023-08-04,1.77,1,0,21
13879,Todd,Guesthouse,0.5,1,1.0,4.97,78704,30.24885,-97.73587,Entire home/apt,57,30,122,2022-10-17,0.73,1,0,3
14156,Amy,Guesthouse,1.0,2,1.0,4.97,78704,30.26034,-97.76487,Entire home/apt,159,3,305,2023-09-04,2.09,1,156,17
25298,Karen,Guest suite,1.0,1,1.0,4.56,78741,30.23466,-97.73682,Entire home/apt,48,4,51,2023-05-16,0.31,1,98,3
50793,Molly,Home,2.0,2,2.0,5.0,78702,30.26098,-97.73072,Entire home/apt,123,30,18,2023-06-19,0.12,2,162,2
39458,Billy,Bungalow,3.0,2,2.0,5.0,78745,30.19756,-97.78754,Entire home/apt,107,3,15,2023-08-18,1.4,1,3,15
56488,David,Guesthouse,1.0,1,1.0,4.94,78741,30.23614,-97.73225,Entire home/apt,65,30,51,2023-08-15,0.31,1,320,3
89031,Gina,Guesthouse,2.0,2,1.0,4.91,78703,30.28074,-97.75381,Entire home/apt,250,1,166,2023-01-02,1.01,1,125,2
102862,Elana,Bungalow,2.0,2,1.0,4.94,78757,30.33771,-97.73708,Entire home/apt,180,7,35,2021-07-28,0.21,2,51,0
161189,Chris,Home,1.0,1,1.0,4.87,78727,30.42895,-97.68958,Private room,33,30,39,2023-07-14,0.39,1,175,1
170787,Robbie,Home,2.0,2,2.0,4.92,78731,30.35123,-97.76207,Entire home/apt,450,2,39,2023-06-10,0.26,1,356,4
215917,Belinda,Home,1.0,1,1.0,5.0,78758,30.37783,-97.70749,Private room,43,30,8,2023-08-19,0.15,1,344,2
12409,Flip,Condo,2.0,3,1.0,4.88,78705,30.28588,-97.75145,Entire home/apt,101,30,35,2023-07-18,0.22,2,270,2
